loss,accuracy
0.5327323,63.11209
0.6108249,73.5799
0.70075357,52.64721
0.62223047,67.48206
0.43212086,77.527725
0.52119935,66.53061
0.5109609,75.15875
0.45054173,77.29461
0.4387616,65.698235
0.41199535,76.95853
0.5094209,66.221725
0.5209485,64.8855
0.5248802,53.924732
0.5135303,72.9789
0.56182593,80.59604
0.4559819,72.72557
0.40623152,77.5586
0.46646872,73.72529
0.33931825,82.24433
0.6723764,68.60451
0.4297609,72.47312
0.47103155,88.737076
0.6744819,37.00115
0.56783104,78.038
0.467573,78.979996
0.4522666,82.5961
0.41919908,79.54113
0.49966702,47.966812
0.5508857,77.654564
0.38985208,79.86836
0.5572422,56.25823
0.39279363,82.8037
0.35769808,78.089714
0.3626605,84.9321
0.44211134,76.44756
0.4555308,77.87287
0.46744415,70.10369
0.52566725,78.48869
0.48507142,70.8871
0.5990611,75.67134
0.41149262,67.251045
0.37537235,76.00976
0.36132082,80.938416
0.29888225,80.447266
0.4818243,74.78184
0.38029715,70.9486
0.49951178,79.283615
